Region.Label,Month,Year,Area,Sample.Label,Effort,perpendicular distance (m)
Rushikulya,december,2012,0,1,3,140.95
Rushikulya,december,2012,0,1,3,76.6
Rushikulya,december,2012,0,1,3,86.6
Rushikulya,december,2012,0,1,3,38.3
Rushikulya,december,2012,0,1,3,147.72
Rushikulya,december,2012,0,1,3,140.95
Rushikulya,december,2012,0,1,3,100
Rushikulya,december,2012,0,1,3,100
Rushikulya,december,2012,0,1,3,76.6
Rushikulya,december,2012,0,1,3,11.49
Rushikulya,december,2012,0,1,3,69.28
Rushikulya,december,2012,0,1,3,129.9
Rushikulya,december,2012,0,1,3,38.3
Rushikulya,december,2012,0,1,3,38.3
Rushikulya,december,2012,0,1,3,76.6
Rushikulya,december,2012,0,1,3,149.43
Rushikulya,december,2012,0,1,3,17.1
Rushikulya,december,2012,0,1,3,46.98
Rushikulya,december,2012,0,1,3,93.97
Rushikulya,december,2012,0,1,3,38.57
Rushikulya,december,2012,0,1,3,129.9
Rushikulya,december,2012,0,1,3,32.14
Rushikulya,december,2012,0,1,3,49.24
Rushikulya,december,2012,0,1,3,64.28
Rushikulya,december,2012,0,1,3,147.72
Rushikulya,december,2012,0,1,3,129.9
Rushikulya,december,2012,0,1,3,10
Rushikulya,december,2012,0,1,3,25
Rushikulya,december,2012,0,1,3,51.96
Rushikulya,december,2012,0,1,3,76.6
Rushikulya,december,2012,0,1,3,76.6
Rushikulya,december,2012,0,1,3,96.42
Rushikulya,december,2012,0,2,3,140.95
Rushikulya,december,2012,0,2,3,129.9
Rushikulya,december,2012,0,2,3,76.6
Rushikulya,december,2012,0,2,3,90
Rushikulya,december,2012,0,2,3,160.7
Rushikulya,december,2012,0,2,3,64.28
Rushikulya,december,2012,0,2,3,75
Rushikulya,december,2012,0,2,3,173.21
Rushikulya,december,2012,0,2,3,140.95
Rushikulya,december,2012,0,2,3,249.05
Rushikulya,december,2012,0,2,3,149.43
Rushikulya,december,2012,0,2,3,53.62
Rushikulya,december,2012,0,2,3,173.21
Rushikulya,december,2012,0,2,3,259.81
Rushikulya,december,2012,0,2,3,346.41
Rushikulya,december,2012,0,2,3,64.28
Rushikulya,december,2012,0,2,3,64.28
Rushikulya,december,2012,0,2,3,64.28
Rushikulya,december,2012,0,2,3,17.32
Rushikulya,december,2012,0,2,3,129.9
Rushikulya,december,2012,0,2,3,129.9
Rushikulya,december,2012,0,2,3,114.91
Rushikulya,december,2012,0,2,3,76.6
Rushikulya,december,2012,0,2,3,49.24
Rushikulya,december,2012,0,2,3,64.28
Rushikulya,december,2012,0,2,3,129.9
Rushikulya,december,2012,0,2,3,86.6
Rushikulya,december,2012,0,2,3,128.03
Rushikulya,december,2012,0,2,3,140.95
Rushikulya,december,2012,0,2,3,153.21
Rushikulya,december,2012,0,2,3,114.91
Rushikulya,december,2012,0,2,3,153.21
Rushikulya,december,2012,0,2,3,129.9
Rushikulya,december,2012,0,2,3,196.96
Rushikulya,december,2012,0,2,3,259.81
Rushikulya,december,2012,0,2,3,9.85
Rushikulya,december,2012,0,2,3,69.73
Rushikulya,december,2012,0,2,3,114.91
Rushikulya,december,2012,0,2,3,98.48
Rushikulya,december,2012,0,2,3,147.72
Rushikulya,december,2012,0,3,3,375.88
Rushikulya,december,2012,0,3,3,32.14
Rushikulya,december,2012,0,3,3,93.97
Rushikulya,december,2012,0,3,3,65.78
Rushikulya,december,2012,0,3,3,86.6
Rushikulya,december,2012,0,3,3,216.51
Rushikulya,december,2012,0,3,3,173.21
Rushikulya,december,2012,0,3,3,98.48
Rushikulya,december,2012,0,3,3,46.98
Rushikulya,december,2012,0,3,3,114.91
Rushikulya,december,2012,0,3,3,114.91
Rushikulya,december,2012,0,3,3,43.3
Rushikulya,december,2012,0,3,3,383.02
Rushikulya,december,2012,0,3,3,76.6
Rushikulya,december,2012,0,3,3,147.72
Rushikulya,december,2012,0,3,3,60.62
Rushikulya,december,2012,0,3,3,98.48
Rushikulya,december,2012,0,3,3,93.97
Rushikulya,december,2012,0,3,3,114.91
Rushikulya,december,2012,0,3,3,65.78
Rushikulya,december,2012,0,3,3,173.21
Rushikulya,december,2012,0,3,3,86.6
Rushikulya,december,2012,0,3,3,153.21
Rushikulya,december,2012,0,3,3,53.62
Rushikulya,december,2012,0,3,3,93.97
Rushikulya,december,2012,0,3,3,64.28
Rushikulya,december,2012,0,3,3,114.91
Rushikulya,december,2012,0,3,3,76.6
Rushikulya,december,2012,0,3,3,93.97
Rushikulya,december,2012,0,3,3,28.19
Rushikulya,december,2012,0,3,3,6.84
Rushikulya,december,2012,0,3,3,96.42
Rushikulya,december,2012,0,3,3,86.6
Rushikulya,december,2012,0,3,3,259.81
Rushikulya,december,2012,0,4,3,114.91
Rushikulya,december,2012,0,4,3,98.48
Rushikulya,december,2012,0,4,3,114.91
Rushikulya,december,2012,0,4,3,89.99
Rushikulya,december,2012,0,4,3,229.81
Rushikulya,december,2012,0,4,3,192.84
Rushikulya,december,2012,0,4,3,32.14
Rushikulya,december,2012,0,4,3,56.38
Rushikulya,december,2012,0,4,3,64.28
Rushikulya,december,2012,0,4,3,68.4
Rushikulya,december,2012,0,4,3,114.91
Rushikulya,december,2012,0,4,3,173.21
Rushikulya,december,2012,0,4,3,86.6
Rushikulya,december,2012,0,4,3,38.3
Rushikulya,december,2012,0,4,3,160.7
Rushikulya,december,2012,0,4,3,120
Rushikulya,december,2012,0,4,3,43.3
Rushikulya,december,2012,0,4,3,114.91
Rushikulya,december,2012,0,4,3,98.48
Rushikulya,december,2012,0,4,3,114.91
Rushikulya,december,2012,0,5,3,114.91
Rushikulya,december,2012,0,5,3,140.95
Rushikulya,december,2012,0,5,3,173.21
Rushikulya,december,2012,0,5,3,86.6
Rushikulya,december,2012,0,5,3,38.3
Rushikulya,december,2012,0,5,3,64.28
Rushikulya,december,2012,0,5,3,76.6
Rushikulya,december,2012,0,5,3,114.91
Rushikulya,december,2012,0,5,3,93.97
Rushikulya,december,2012,0,5,3,76.6
Rushikulya,december,2012,0,5,3,64.28
Rushikulya,december,2012,0,5,3,196.96
Rushikulya,december,2012,0,5,3,76.6
Rushikulya,december,2012,0,5,3,114.91
Rushikulya,december,2012,0,5,3,58.71
Rushikulya,december,2012,0,5,3,36.47
Rushikulya,december,2012,0,5,3,39.63
Rushikulya,december,2012,0,5,3,67.6
Rushikulya,december,2012,0,5,3,20.34
Rushikulya,december,2012,0,5,3,68.57
Rushikulya,december,2012,0,5,3,114.91
Rushikulya,december,2012,0,5,3,89.99
Rushikulya,december,2012,0,5,3,93.97
Rushikulya,december,2012,0,5,3,114.91
Rushikulya,december,2012,0,5,3,47.51
Rushikulya,december,2012,0,5,3,37.41
Rushikulya,december,2012,0,5,3,44.51
Rushikulya,december,2012,0,5,3,40.22
Rushikulya,december,2012,0,5,3,52.02
Rushikulya,december,2012,0,5,3,58.43
Rushikulya,december,2012,0,5,3,42.79
Rushikulya,december,2012,0,5,3,49.49
Rushikulya,december,2012,0,5,3,64.72
Rushikulya,december,2012,0,5,3,24.72
Rushikulya,december,2012,0,5,3,61.63
Rushikulya,december,2012,0,5,3,43.07
Rushikulya,december,2012,0,5,3,128.56
Rushikulya,december,2012,0,5,3,114.91
Rushikulya,december,2012,0,5,3,72
Rushikulya,december,2012,0,5,3,66.75
Rushikulya,december,2012,0,5,3,30.5
Rushikulya,december,2012,0,5,3,89.99
Rushikulya,december,2012,0,5,3,24.27
Rushikulya,december,2012,0,5,3,75.84
Rushikulya,december,2012,0,5,3,82.86
Rushikulya,december,2012,0,5,3,69.21
Rushikulya,december,2012,0,5,3,45.57
Rushikulya,december,2012,0,5,3,37.03
Rushikulya,december,2012,0,5,3,114.91
Rushikulya,december,2012,0,5,3,89.99
Rushikulya,december,2012,0,5,3,96.42
Rushikulya,december,2012,0,5,3,51.3
Rushikulya,december,2012,0,5,3,93.97
Rushikulya,december,2012,0,5,3,77.94
Rushikulya,december,2012,0,5,3,147.72
Rushikulya,december,2012,0,5,3,140.95
Rushikulya,december,2012,0,5,3,41.04
Rushikulya,december,2012,0,5,3,191.51
Rushikulya,december,2012,0,5,3,53.62
Rushikulya,december,2012,0,5,3,114.91
Rushikulya,december,2012,0,5,3,147.72
Rushikulya,december,2012,0,5,3,75
Rushikulya,december,2012,0,5,3,98.48
Rushikulya,december,2012,0,5,3,128.56
